NO,중복,구분1,구분2,구분3,구분4,파일명,경로,화면표시
1,1,도로,,FTR_CDE,지형지물부호,FTR_CDE(지형지물부호)-LINE_속성뿌리기(도로),00 도로-구조화/FTR_CDE(지형지물부호)-LINE_속성뿌리기(도로).LSP,"""FTR_CDE(지형지물부호):_"" FTR_CDE"
2,1,도로,,FTR_CDE,지형지물부호,FTR_CDE(지형지물부호)-TEXT_속성뿌리기(도로),00 도로-구조화/FTR_CDE(지형지물부호)-TEXT_속성뿌리기(도로).LSP,"""FTR_CDE(지형지물부호):_"" FTR_CDE"
3,,도로,,,,FTR_IDN-LINE-(FTR_IDN-drawAttr),00 도로-구조화/FTR_IDN-LINE-(FTR_IDN-drawAttr).LSP,FTR_IDN
4,2,도로,,,,FTR_IDN-TEXT_속성뿌리기(도로),00 도로-구조화/FTR_IDN-TEXT_속성뿌리기(도로).LSP,"""ID_ "" FTR_IDN"
5,,도로,함양군,,,함양군-LINE_속성뿌리기(도로-어린이보호구역 SCHO AS),00 도로-구조화/함양군-LINE_속성뿌리기(도로-어린이보호구역 SCHO AS).LSP,"""보호구역->명:"" ABA_NAM ""/소재지:"" ABA_LEN ""/지정일자:"" RDL_WID ""/원장명:"" SIG_CNT"
6,,공동구,부천시,BML_CENLI_LS,중심선,BML_CENLI_LS(중심선)-LINE-속성뿌리기,09.공동구-구조화/부천시-공동구(2017-2652)/BML_CENLI_LS(중심선)-LINE-속성뿌리기.LSP,"""BML_CENLI_LS(중심선)->"" FTR_CDE ""/지하철역명칭:"" STT_NAM ""/L:"" PAS_LEN ""/D:"" PAS_DEP"
7,,공동구,부천시,BML_ELECT_AS,전기시설물,BML_ELECT_AS(전기시설물)-속성뿌리기,09.공동구-구조화/부천시-공동구(2017-2652)/BML_ELECT_AS(전기시설물)-속성뿌리기.LSP,"""BML_ELECT_AS(전기시설물)->"" FTR_CDE ""/준공일자:"" BLD_YMD ""/관리부서:"" DPT_CDE ""/종류:"" ETC_EXP ""/위치:"" ETC_WHE"
8,,공동구,부천시,BML_EMCP_PS,비상전화기,BML_EMCP_PS(비상전화기)-속성뿌리기,09.공동구-구조화/부천시-공동구(2017-2652)/BML_EMCP_PS(비상전화기)-속성뿌리기.LSP,"""BML_EMCP_PS(비상전화기)->"" FTR_CDE ""/관리부서:"" DPT_CDE ""/지하철역명칭:"" STT_NAM"
9,,공동구,부천시,BML_EMCSIPT_AS,비상출입구,BML_EMCSIPT_AS(비상출입구)-속성뿌리기,09.공동구-구조화/부천시-공동구(2017-2652)/BML_EMCSIPT_AS(비상출입구)-속성뿌리기.LSP,"""BML_FIREDOOR_LS(방화문위치)->"" FTR_CDE ""/준공일자:"" BLD_YMD ""/관리부서:"" DPT_CDE ""/방화문 종류:"" BEG_LOC ""/지하철역명칭:"" STT_NAM ;; ""/L:"" PAS_LEN ""/["" PAS_WID ""X"" FTR_CDE0 ""]"" ""/연결건물명:"" IPT_NAM ""/위치:"" PAS_LOC"
10,,공동구,부천시,BML_RAILRO_LS,궤도,BML_RAILRO_LS(궤도)-속성뿌리기,09.공동구-구조화/부천시-공동구(2017-2652)/BML_RAILRO_LS(궤도)-속성뿌리기.LSP,"""BML_RAILRO_LS(궤도)->"" FTR_CDE ""/관리부서:"" DPT_CDE ""/지하철역명칭:"" STT_NAM ""/위치_출발역:"" BEG_LOC ""/위치_도착역:"" END_LOC ""/L:"" PAS_LEN ""/Z:"" PAS_DEP ;; ""/L:"" PAS_LEN ""/["" PAS_WID ""X"" FTR_CDE0 ""]"" ""/연결건물명:"" PAS_LEN ""/위치:"" PAS_DEP"
